CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,DB00863,Ranitidine
CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,DB00183,Pentagastrin
CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,DB00585,Nizatidine
CN/C(=N/C#N)NCCSCc1nc[nH]c1C,DB00501,Cimetidine
NCCc1c[nH]cn1,DB05381,Histamine
COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,DB00338,Omeprazole
COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C,DB01129,Rabeprazole
Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,DB00448,Lansoprazole
N[14C](N)=O,DB09513,Urea C-14
NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,DB00927,Famotidine
[Al+3].[OH-].[OH-].[OH-],DB06723,Aluminum hydroxide
CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,DB00929,Misoprostol
COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,DB00213,Pantoprazole
Cc1c(OCC(F)(F)F)ccnc1C[S@@](=O)c1nc2ccccc2[nH]1,DB05351,Dexlansoprazole
O=[Si]([O-])O[Si]([O-])([O-])O[Si](=O)[O-].[Mg+2].[Mg+2],DB09281,Magnesium trisilicate
O=C([O-])[O-].[Ca+2],DB06724,Calcium carbonate
CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,DB11739,Vonoprazan
COc1ccc2[nH]c([S@@](=O)Cc3ncc(C)c(OC)c3C)nc2c1,DB00736,Esomeprazole
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,DB01233,Metoclopramide
N[13C](N)=O,DB09510,Urea C-13
O.O=S(=O)(OC[C@H]1O[C@H](O[C@]2(COS(=O)(=O)O[Al](O)O)O[C@H](COS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]2OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O)O[Al](O)O.O[Al](O)O,DB00364,Sucralfate
C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,DB00986,Glycopyrronium
C[N+](C)(C)C[C@H](O)CC(=O)[O-],DB00583,Levocarnitine
O.O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-],DB08938,Magaldrate
O.O.O.O.[98Tc-],DB09314,Technetium Tc-99m pertechnetate
O=C(O)c1cc(O)c2c(c1)O[Bi](O)O2,DB13909,Bismuth subgallate
O=C([O-])CC([O-])(CC(=O)[O-])C(=O)[O-].O=C([O-])CC([O-])(CC(=O)[O-])C(=O)[O-].[Bi+3].[K+].[K+].[K+].[K+].[K+],DB09275,Bismuth subcitrate potassium
C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2.[Br-],DB00725,Homatropine methylbromide
O=c1[nH]c(=O)n(C2CCCO2)cc1F,DB09256,Tegafur
CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)[C@H](CO)c1ccccc1)C2,DB00424,Hyoscyamine
[Cl-].[Cl-].[Mg+2],DB09407,Magnesium chloride
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,DB01184,Domperidone
O=C([O-])[O-].[Na+].[Na+],DB09460,Sodium carbonate
[Cl-].[NH4+],DB06767,Ammonium chloride
CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,DB15133,Tepotinib
C[N@+]1(CC2CC2)CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,DB06800,Methylnaltrexone
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,DB00997,Doxorubicin
O=C(O)c1nc(=O)[nH]c(=O)[nH]1,DB03209,Oteracil
CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,DB01083,Orlistat
Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,DB06203,Alogliptin
O=c1cc(O)c(Cl)c[nH]1,DB09257,Gimeracil
[C],DB09278,Activated charcoal
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,DB01085,Pilocarpine
CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,DB01101,Capecitabine
