C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,DB11244,Cyclomethicone 5
CC(O)CCO,DB14110,Butylene glycol
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,DB03756,Doconexent
Oc1ccccc1,DB03255,Phenol
CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@@H]8[C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]6[C@@H](CO)O[C@@H]([C@@H]6O)n6c[n+](c9cc(C)c(C)cc96)[Co-3]753(C)[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]83C)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O,DB03614,Mecobalamin
C[N+](C)(C)C[C@H](O)CC(=O)[O-],DB00583,Levocarnitine
CC[C@@H]1[C@@H]2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@H]3[C@H](C)CCC(=O)O)[C@@H]2[C@@H]1O,DB05990,Obeticholic acid
N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,DB01296,Glucosamine
Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,DB00163,Vitamin E
CCCCC(CC)COC(=O)/C=C/c1ccc(OC)cc1,DB09496,Octinoxate
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C,DB00169,Cholecalciferol
CC[C@H](C)[C@H](N)C1=N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1,DB00626,Bacitracin
CC(C)c1cc(Oc2c(Cl)cc(-n3nc(C#N)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O,DB12914,Resmetirom
CCCCCCO[C@@H](C)c1cccc(-c2csc(NC(=O)c3cc(Cl)c(/C=C(\C)C(=O)O)c(Cl)c3)n2)c1OC,DB13125,Lusutrombopag
COC(=O)N[C@H](C(=O)N1CC2(CC2)C[C@H]1c1nc(-c2ccc3c(c2)C(F)(F)c2cc(-c4ccc5[nH]c([C@@H]6[C@H]7CC[C@H](C7)N6C(=O)[C@@H](NC(=O)OC)C(C)C)nc5c4)ccc2-3)c[nH]1)C(C)C,DB09027,Ledipasvir
Cc1cnc(C(=O)N[C@H]2CCCCC/C=C\[C@@H]3C[C@@]3(C(=O)NS(=O)(=O)C3CC3)NC(=O)[C@@H]3C[C@@H](Oc4nc5ccccc5c5ccccc45)CN3C2=O)cn1,DB09297,Paritaprevir
CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,DB08934,Sofosbuvir
Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCC[C@@H](O)c3cc(Cl)ccc32)c(C)c1,DB06212,Tolvaptan
O,DB09145,Water
CC(C)(C)[C@@H]1NC(=O)O[C@@H]2CCC[C@H]2OC/C=C/C(F)(F)c2nc3ccccc3nc2O[C@@H]2C[C@@H](C(=O)N[C@]3(C(=O)NS(=O)(=O)C4(C)CC4)C[C@H]3C(F)F)N(C2)C1=O,DB13879,Glecaprevir
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,DB00857,Terbinafine
COC[C@H]1C[C@@H](c2ncc(-c3ccc4c(c3)COc3cc5c(ccc6nc([C@@H]7CC[C@H](C)N7C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c65)cc3-4)[nH]2)N(C(=O)[C@H](NC(=O)OC)c2ccccc2)C1,DB11613,Velpatasvir
COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc([C@@H]2CC[C@@H](c3ccc(NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)OC)C(C)C)cc3)N2c2ccc(C(C)(C)C)cc2)cc1)C(C)C,DB09296,Ombitasvir
FS(F)(F)(F)(F)F,DB11104,Sulfur hexafluoride
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,DB01586,Ursodeoxycholic acid
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc2cc([C@H]3CC[C@H](c4cc5nc([C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)[C@@H](C)OC)[nH]c5cc4F)N3c3cc(F)c(N4CCC(c5ccc(F)cc5)CC4)c(F)c3)c(F)cc2[nH]1)[C@@H](C)OC,DB13878,Pibrentasvir
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,DB00503,Ritonavir
CCOc1ccc(C[C@@H](CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])N(CC(=O)O)CC(=O)O)cc1.[Gd+3],DB08884,Gadoxetic acid
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-],DB09241,Methylene blue
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,DB01039,Fenofibrate
C[C@@H](O)[C@H](N)C(=O)O,DB00156,Threonine
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,DB02659,Cholic Acid
CCO[C@H](COc1ccc(C(F)(F)F)cc1)CSc1ccc(OCC(=O)O)c(C)c1,DB12390,Seladelpar
OCC(O)CO,DB09462,Glycerin
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,DB00455,Loratadine
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,DB00322,Floxuridine
CC1(C)C(=CC=CC=CC=CC2=[N+](CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)N(CCCCS(=O)(=O)O)c2ccc3ccccc3c21,DB09374,Indocyanine green acid form
CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C,DB13751,Glycyrrhizic acid
Cc1cc(=O)n(-c2ccccc2)n1C,DB01435,Antipyrine
COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,DB09183,Dasabuvir
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,DB00695,Furosemide
O=C(Nc1nc(-c2cc(Cl)cs2)c(N2CCN(C3CCCCC3)CC2)s1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1,DB11995,Avatrombopag
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,DB00635,Prednisone
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,DB00162,Vitamin A
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,DB00741,Hydrocortisone
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,DB06777,Chenodeoxycholic acid
CCCCC1(CCCC)CS(=O)(=O)c2ccc(N(C)C)cc2[C@@H](c2ccc(OCc3ccc(C[N+]45CCN(CC4)CC5)cc3)cc2)[C@H]1O,DB16226,Maralixibat
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,DB00811,Ribavirin
CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,DB08842,Acetylcarnitine
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,DB00257,Clotrimazole
O=[Zn],DB09321,Zinc oxide
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,DB00384,Triamterene
CCCCC1(CCCC)CN(c2ccccc2)c2cc(SC)c(OCC(=O)N[C@@H](C(=O)N[C@@H](CC)C(=O)O)c3ccc(O)cc3)cc2S(=O)(=O)N1,DB16261,Odevixibat
N[C@@H](CS)C(=O)O,DB00151,Cysteine
S1SSSSSSS1.[99Tc],DB09397,Technetium Tc-99m sulfur colloid
CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,DB01088,Iloprost
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,DB01149,Nefazodone
O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,DB00121,Biotin
NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,DB00880,Chlorothiazide
CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O,DB11936,Bempedoic acid
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,DB08604,Triclosan
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,DB00903,Etacrynic acid
OC[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,DB12942,Lactitol
NCCC[C@H](N)C(=O)O,DB00129,Ornithine
CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2,DB09039,Eliglustat
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,DB00774,Hydroflumethiazide
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,DB00159,Icosapent
CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,DB00718,Adefovir dipivoxil
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,DB00140,Riboflavin
NC(N)=O,DB03904,Urea
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,DB00999,Hydrochlorothiazide
Cl[Cu]Cl,DB09131,Cupric Chloride
N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,DB01042,Melphalan
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CCN(CC(=O)O)C(COCc1ccccc1)C(=O)O.[Gd+3],DB00743,Gadobenic acid
CSc1ccc(C(=O)/C=C/c2cc(C)c(OC(C)(C)C(=O)O)c(C)c2)cc1,DB05187,Elafibranor
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,DB00205,Pyrimethamine
CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,DB01131,Proguanil
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,DB00518,Albendazole
CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,DB00542,Benazepril
CSc1nc2cc(Oc3cccc(Cl)c3Cl)c(Cl)cc2[nH]1,DB12245,Triclabendazole
NC(=O)OCC(COC(N)=O)c1ccccc1,DB00949,Felbamate
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O,DB00146,Calcifediol
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,DB08887,Icosapent ethyl
NC(N)=NCc1cccc(I)c1,DB06704,Iobenguane
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CS,DB09091,Tixocortol
O=P1(N(CCCl)CCCl)NCCCO1,DB00531,Cyclophosphamide
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Ca+2].[Na+].[Na+],DB14598,Edetate calcium disodium anhydrous
NC(=O)N[C@@H](CCC(=O)O)C(=O)O,DB06775,Carglumic acid
CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,DB01418,Acenocoumarol
CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,DB00412,Rosiglitazone
CC(C)(/C=C(\C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1)N1CCN(C2COC2)CC1,DB17709,Rilzabrutinib
[Mn+2],DB06757,Manganese cation
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,DB00682,Warfarin
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,DB00310,Chlorthalidone
CN(C)C(=N)NC(=N)N,DB00331,Metformin
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1C[C@H]1CCCCCc1nc3ccc(OC)cc3nc1O2)C(=O)NS(=O)(=O)C1CC1,DB11575,Grazoprevir
O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,DB00973,Ezetimibe
NCC(=O)O,DB00145,Glycine
O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,DB08860,Pitavastatin
CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,DB08882,Linagliptin
CC(O)C(=O)[O-].CC(O)C(=O)[O-].[Ca+2],DB13231,Calcium lactate
O=C(O)[C@@H]1C[C@@H](O)CN1,DB08847,Hydroxyproline
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,DB11460,Squalene
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,DB01217,Anastrozole
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,DB01241,Gemfibrozil
Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,DB00963,Bromfenac
O=S(=O)([O-])[O-].[Na+].[Na+],DB09472,Sodium sulfate
CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,DB09133,Iothalamic acid
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,DB00688,Mycophenolate mofetil
O=C(CCCc1ccccc1)OCC(COC(=O)CCCc1ccccc1)OC(=O)CCCc1ccccc1,DB08909,Glycerol phenylbutyrate
COc1cc(C)c2c(Oc3cccc(C(F)(F)F)c3)c(OC)cc(NC(C)CCCN)c2n1,DB06608,Tafenoquine
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,DB01076,Atorvastatin
