CSCC[C@H](N)C(=O)O,DB00134,Methionine
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,DB00310,Chlorthalidone
CCCC(CCC)C(=O)O,DB00313,Valproic acid
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,DB00384,Triamterene
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,DB00404,Alprazolam
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,DB00421,Spironolactone
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,DB00454,Meperidine
CC(N)C12CC3CC(CC(C3)C1)C2,DB00478,Rimantadine
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,DB00502,Haloperidol
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,DB00503,Ritonavir
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@](O)(CO)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,DB00581,Lactulose
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,DB00695,Furosemide
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,DB00811,Ribavirin
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,DB00829,Diazepam
Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2,DB00872,Conivaptan
NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,DB00880,Chlorothiazide
CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,DB00921,Buprenorphine
CC(C)NCC(O)COc1cccc2[nH]ccc12,DB00960,Pindolol
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,DB00999,Hydrochlorothiazide
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,DB01039,Fenofibrate
CN(C)CCOC(c1ccccc1)c1ccccc1,DB01075,Diphenhydramine
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,DB01205,Flumazenil
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,DB01211,Clarithromycin
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,DB01586,Ursodeoxycholic acid
Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21,DB04209,Dequalinium
CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,DB05990,Obeticholic acid
Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCC[C@@H](O)c3cc(Cl)ccc32)c(C)c1,DB06212,Tolvaptan
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@@H]5/C=C\CCCCN(C)C(=O)[C@@H]4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,DB06290,Simeprevir
O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,DB08860,Pitavastatin
C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,DB08880,Teriflunomide
CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,DB08934,Sofosbuvir
COC(=O)N[C@H](C(=O)N1CC2(CC2)C[C@H]1c1nc(-c2ccc3c(c2)C(F)(F)c2cc(-c4ccc5[nH]c([C@@H]6[C@H]7CC[C@H](C7)N6C(=O)[C@@H](NC(=O)OC)C(C)C)nc5c4)ccc2-3)c[nH]1)C(C)C,DB09027,Ledipasvir
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C,DB09102,Daclatasvir
COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,DB09183,Dasabuvir
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-],DB09241,Methylene blue
COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc([C@@H]2CC[C@@H](c3ccc(NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)OC)C(C)C)cc3)N2c2ccc(C(C)(C)C)cc2)cc1)C(C)C,DB09296,Ombitasvir
