target,cell_line,num_runs,max_tanimoto,best_run_idx,best_group_1based,total_generated_mean,total_generated_std,valid_num_mean,valid_num_std,unique_num_mean,unique_num_std,novel_num_mean,novel_num_std,source_ligand_count_mean,source_ligand_count_std,valid_rate_mean,valid_rate_std,unique_rate_mean,unique_rate_std,novel_rate_mean,novel_rate_std,diversity_mean,diversity_std,intdivp_mean,intdivp_std,tanimoto_pair_count_mean,tanimoto_pair_count_std,qed_mean,qed_std,sa_mean,sa_std,logp_mean,logp_std,lipinski_mean,lipinski_std,mw_mean,mw_std
AKT1,MCF7,10,1.0,0,1,100.0,0.0,96.1,1.911950719959998,91.2,2.898275349237888,6.3,2.7507574714370344,2109.0,0.0,96.1,1.911950719959998,94.90241363316365,2.4431034329396555,6.904604752063417,3.0597364278885286,0.8882035019057604,0.004503484988470852,0.7067064335655622,0.019326063276237863,202674.9,4032.304068395636,0.48960478761891424,0.09878421198617374,3.5938259562282666,0.4256254996433328,3.2382749111111138,1.6115526768470798,0.4584126984126984,0.12756217638288167,474.19660142857157,56.58426545951309
AKT2,MCF7,10,1.0,0,1,100.0,0.0,97.2,1.6865480854231356,95.0,2.309401076758503,3.9,1.449137674618944,1259.0,0.0,97.2,1.6865480854231356,97.73031885594962,1.1906809639171319,4.104875561723062,1.4967426559523072,0.8922772294610994,0.0029759303916346135,0.7370879325503569,0.011058058967704924,122374.8,2123.3640395477278,0.5349472559308438,0.10429622816205734,3.39664618214219,0.42495618879013863,3.359822809523812,1.1578325808542618,0.6219047619047618,0.2400050389997591,449.2446021428573,70.63465213330127
AURKB,MCF7,10,1.0,0,1,100.0,0.0,96.6,2.4585451886114367,92.6,2.503331114069145,4.3,1.888562063228706,2068.0,0.0,96.6,2.4585451886114367,95.87220815417804,1.8565129069515713,4.632171367056044,2.0068250958775153,0.8889804239962519,0.004031799961986287,0.7105577421654687,0.01574292686573427,199768.8,5084.271450048451,0.5431986862037141,0.08332729929607172,3.570819673421562,0.6082371525818457,3.7378032380952413,1.253668457671796,0.5833333333333334,0.24131421897636146,436.31276190476206,50.84800377290082
CTSK,MCF7,10,0.45652173913043476,7,8,100.0,0.0,98.6,0.699205898780101,96.1,1.1005049346146119,10.5,3.3747427885527643,1561.0,0.0,98.6,0.699205898780101,97.46542980828696,0.9799733584675807,10.94515306122449,3.5623545262918537,0.8699022610137718,0.0034795054035031752,0.7069889160016778,0.015789165358627007,153914.6,1091.4604079957376,0.5192229233641951,0.06435197398997393,3.714463227254776,0.2977976797199674,3.7204351680486205,0.5729407695182855,0.5092270229770229,0.16938167267691157,484.25341705044974,52.17151575327338
EGFR,MCF7,10,1.0,6,7,100.0,0.0,99.0,0.6666666666666666,97.5,1.5811388300841898,8.4,3.438345855527367,2246.0,0.0,99.0,0.6666666666666666,98.48785817357246,1.6635453976104175,8.610885673593991,3.4961354539873972,0.8746095368825998,0.005482987603067583,0.6997567821277277,0.014534162581825216,222354.0,1497.3333333333333,0.4972023598603971,0.07185636623414526,3.9040368584824883,0.2170261905042262,3.7061031275252554,0.49569805560341573,0.40845959595959597,0.20526060188349907,519.3463871212123,34.59975394243429
HDAC1,MCF7,10,0.84375,0,1,100.0,0.0,96.3,2.5841396591085743,92.4,2.8751811537130436,5.8,2.2997584414213788,988.0,0.0,96.3,2.5841396591085743,95.9597384897886,2.0714277123445552,6.29507298221143,2.583394408514726,0.8900044326022416,0.002946288068006325,0.7175844730099725,0.017652712047093372,95144.4,2553.1299831992715,0.5115164328869524,0.07386472961738395,3.4153213131570164,0.33287350176630676,3.754454889285717,0.8988440606322561,0.49896825396825395,0.18799681527387643,463.1369489285716,40.45782149275926
MTOR,MCF7,10,1.0,0,1,100.0,0.0,97.0,2.260776661041756,92.5,2.5055493963954847,3.7,1.5670212364724212,1480.0,0.0,97.0,2.260776661041756,95.3745328444314,2.182508928410233,3.9927952178913833,1.6673252862266623,0.8876149609604859,0.0037757744550211327,0.7165252987086492,0.020017504689335455,143560.0,3345.949458341799,0.5619344315429369,0.07772631832410472,3.221466713092064,0.7865208382918278,2.910446566666669,0.6383546926903986,0.6849999999999999,0.16932144898511753,394.4731650000001,78.99427317735478
PIK3CA,MCF7,10,1.0,6,7,100.0,0.0,97.6,1.429840705968481,96.0,2.1081851067789197,5.5,2.6352313834736494,1177.0,0.0,97.6,1.429840705968481,98.36071101684232,1.6196179100914003,5.740319097769356,2.745389432906115,0.8901931086211031,0.00324923293902046,0.7343693966797591,0.015748136833026654,114875.2,1682.9225109249023,0.5462165751207637,0.13753703714469306,3.5640121500944484,0.6079436884088989,3.573562641269844,0.9311644457255344,0.4921428571428571,0.3368859250254034,476.18443309523826,91.90073688778591
SMAD3,MCF7,10,1.0,4,5,100.0,0.0,98.2,1.1352924243950935,96.5,1.7795130420052185,11.8,3.155242550986462,12413.0,0.0,98.2,1.1352924243950935,98.26805879646454,1.3606664987200994,12.208072474473731,3.15554686670387,0.8595706920796473,0.003850215720622984,0.6641857786948134,0.020662843258816187,1218956.6,14092.384864016294,0.47397063351617075,0.04991214003784813,3.8583521982920645,0.17546655021915655,3.9566535640862437,0.5013080976253074,0.3786479288685171,0.15105888347241872,521.2292149204229,38.19295897305354
TP53,MCF7,10,1.0,1,2,100.0,0.0,96.4,2.913569784454954,93.4,3.9496835316262997,3.2,1.8737959096740262,6734.0,0.0,96.4,2.913569784454954,96.86412159624446,1.730366628520403,3.4783287885116447,2.161412200922479,0.8947014219177385,0.004011650194989167,0.7375635737398659,0.02215203095165875,649157.6,19619.97892851966,0.5629831316887305,0.19435921619914248,3.2180962261697212,0.9819909284978725,3.73290584761905,1.5266879516728622,0.569047619047619,0.4133404651568177,442.1440604761906,127.27751286325612
