target,run_idx,total_generated,valid_num,source_ligand_count,max_tanimoto,generated_smiles,known_ligand,attempt_index
AKT1,0,100,94,2109,1.0,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,58
AKT1,1,100,97,2109,0.7368421052631579,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(C=Cc3ccccc3)n2)n[nH]1,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(C=Cc3ccccc3)n2)[nH]n1,86
AKT1,2,100,95,2109,0.7777777777777778,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,32
AKT1,3,100,99,2109,0.711864406779661,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)ccn1,52
AKT1,4,100,96,2109,0.6774193548387096,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,NC1(c2ccc(-c3nc4ccn5c(O)nnc5c4cc3-c3ccccc3)cc2)CCC1,93
AKT1,5,100,96,2109,1.0,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,99
AKT1,6,100,98,2109,1.0,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,COC(C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,67
AKT1,7,100,98,2109,1.0,CC(=O)NCC(=O)N1[C@@H]2CC[C@H]1c1ccc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)cc12,CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,50
AKT1,8,100,93,2109,0.7741935483870968,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5[nH]cnc5cc4nc3-c3ccccc3)cc2)CC1,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4ccccc4nc3-c3ccccc3)cc2)CC1,16
AKT1,9,100,95,2109,1.0,CC(=O)NCC(=O)N1[C@@H]2CC[C@H]1c1ccc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)cc12,CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,34
AKT2,0,100,97,1259,1.0,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,58
AKT2,1,100,99,1259,0.711864406779661,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)ccn1,44
AKT2,2,100,95,1259,1.0,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,96
AKT2,3,100,96,1259,1.0,CN(C(Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N1CCN(c2ccccc2)CC1)S(=O)(=O)c1cccc2cnccc12,CN([C@@H](Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N1CCN(c2ccccc2)CC1)S(=O)(=O)c1cccc2cnccc12,8
AKT2,4,100,97,1259,0.5974025974025974,Cc1[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,31
AKT2,5,100,97,1259,1.0,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,63
AKT2,6,100,99,1259,1.0,C[C@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,CC1CCN(C(=O)CC#N)CC1N(C)c1ncnc2[nH]ccc12,36
AKT2,7,100,100,1259,0.7368421052631579,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(C=Cc3ccccc3)n2)n[nH]1,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(C=Cc3ccccc3)n2)[nH]n1,21
AKT2,8,100,95,1259,1.0,C[C@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,CC1CCN(C(=O)CC#N)CC1N(C)c1ncnc2[nH]ccc12,3
AKT2,9,100,97,1259,0.711864406779661,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)ccn1,59
AURKB,0,100,95,2068,1.0,CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,43
AURKB,1,100,99,2068,0.8571428571428571,CCN1CCN(C(=O)Cc2ccc(Nc3ncc(F)c(Nc4ccc(C(=O)Nc5ccccc5Cl)cc4)n3)cc2)CC1,CC(=O)N1CCN(C(=O)Cc2ccc(Nc3ncc(F)c(Nc4ccc(C(=O)Nc5ccccc5Cl)cc4)n3)cc2)CC1,41
AURKB,2,100,94,2068,1.0,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,COC(C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,4
AURKB,3,100,97,2068,0.7692307692307693,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,Cc1c2ccc(N(C)c3ccnc(Nc4cccc(S(N)(=O)=O)c4)n3)cc2nn1C,3
AURKB,4,100,97,2068,1.0,Cc1[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,31
AURKB,5,100,99,2068,1.0,CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,19
AURKB,6,100,96,2068,1.0,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,40
AURKB,7,100,100,2068,0.9210526315789473,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,CCCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,28
AURKB,8,100,92,2068,1.0,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,77
AURKB,9,100,97,2068,1.0,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,67
CTSK,0,100,100,1561,0.42105263157894735,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,N#CN1CCC(NC(=O)c2ccccc2)C1,88
CTSK,1,100,99,1561,0.4262295081967213,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,N#CCNC(=O)[C@H](Cc1cccc(Cl)c1)NC(=O)C1CCCCCC1,43
CTSK,2,100,99,1561,0.36065573770491804,N#Cc1cc2ccc(N3CCOCC3)cc2cc1C#N,CC(C)(C)Cn1c(Cc2ccc(N3CCOCC3)cc2)cc2cnc(C#N)nc21,44
CTSK,3,100,99,1561,0.3469387755102041,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,CCCC[C@H](NC(=O)OC(C)(C)C)C(=O)C(N)=O,1
CTSK,4,100,98,1561,0.3902439024390244,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,COc1ccc(CCNC(=O)c2cnc(C#N)nc2NC2CCCCC2)cc1,35
CTSK,5,100,99,1561,0.4262295081967213,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,N#CCNC(=O)[C@H](Cc1cccc(Cl)c1)NC(=O)C1CCCCCC1,88
CTSK,6,100,98,1561,0.42857142857142855,CCOC(=O)N1CCC(NCCNC(=O)c2ccc(F)cc2)CC1,N#CN1CC[C@@H](NC(=O)c2ccc(F)cc2)C1,96
CTSK,7,100,98,1561,0.45652173913043476,NC(=O)OCCCc1ccccc1,CCCC[C@@H](C=O)NC(=O)OCCCc1ccccc1,85
CTSK,8,100,98,1561,0.40298507462686567,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NCC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,51
CTSK,9,100,98,1561,0.4262295081967213,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,N#CCNC(=O)[C@H](Cc1cccc(Cl)c1)NC(=O)C1CCCCCC1,62
EGFR,0,100,98,2246,0.6346153846153846,COc1cccc(-c2ccc3ncnc(NCc4cccc(C)c4)c3c2)c1,COc1ccc2ncnc(NCc3ccccc3)c2c1,92
EGFR,1,100,99,2246,0.8059701492537313,COc1cc(C=C(C#N)C(N)=O)cc(CSc2nc3ccccc3s2)c1O,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3cc(Cl)ccc3s2)c1O,57
EGFR,2,100,100,2246,0.5116279069767442,CCN1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(Oc4ccc5c(c4)CC(=O)N5)c3)cc2C(F)(F)F)CC1,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1NC(=O)c1ccc(=O)[nH]c1,84
EGFR,3,100,99,2246,0.41818181818181815,CCCCCCCC(=O)c1c(O)cc(O)cc1CC(=O)OCC,CCOC(=O)Cc1cc(NCc2cc(O)ccc2O)ccc1O,94
EGFR,4,100,99,2246,0.7875,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,CC(C)(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21)S(C)(=O)=O,40
EGFR,5,100,100,2246,0.7391304347826086,COc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,COc1cc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2cc1OC,17
EGFR,6,100,99,2246,1.0,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,48
EGFR,7,100,99,2246,0.6727272727272727,CC(C)c1cc(/C=C(\C#N)C(=O)NCCCc2ccccc2)cc(C(C)C)c1O,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCc1ccccc1,60
EGFR,8,100,99,2246,1.0,Cc1[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,68
EGFR,9,100,98,2246,1.0,N#CC(=Cc1ccc(O)c(O)c1)C(=O)Nc1ccccc1,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)Nc1ccccc1,65
HDAC1,0,100,94,988,0.84375,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(O)=NO,5
