target,cell_line,cell_line_idx,run_idx,seed,total_generated,valid_num,unique_num,novel_num,source_ligand_count,valid_rate,unique_rate,novel_rate,diversity,intdivp,max_tanimoto,tanimoto_pair_count,qed,sa,logp,lipinski,mw
AKT1,MCF7,9,0,42,100,94,93,5,2109,94.0,98.93617021276596,5.376344086021505,0.8934859891010983,0.7352395204522608,1.0,198246,0.5083681263929908,3.6920721418783624,3.822700000000004,0.4,428.5670000000001
AKT1,MCF7,9,1,43,100,97,94,3,2109,97.0,96.90721649484536,3.1914893617021276,0.878949654596831,0.6715380464182695,0.7368421052631579,204573,0.43056808473994906,3.6368691947503136,3.855000000000003,0.3333333333333333,560.9886666666669
AKT1,MCF7,9,2,44,100,95,91,10,2109,95.0,95.78947368421052,10.989010989010989,0.8897068212215302,0.7014774201912907,0.7777777777777778,200355,0.5198069416958148,3.508206325711146,2.699824000000001,0.5,418.73540000000014
AKT1,MCF7,9,3,45,100,99,92,9,2109,99.0,92.92929292929293,9.782608695652174,0.8899008566341468,0.72329827627241,0.711864406779661,208791,0.6067176153824042,3.69443210202306,3.953977777777781,0.5555555555555556,449.2220000000002
AKT1,MCF7,9,4,46,100,96,88,10,2109,96.0,91.66666666666667,11.363636363636363,0.8876996030671334,0.7043650265618456,0.6774193548387096,202464,0.4922197239871088,4.010493060376661,1.7782390000000023,0.5,482.88870000000014
AKT1,MCF7,9,5,47,100,96,91,6,2109,96.0,94.79166666666667,6.593406593406593,0.8908797129333357,0.7087951818259806,1.0,202464,0.6693633463639634,3.0468731552328263,4.0285533333333365,0.6666666666666666,416.1675000000002
AKT1,MCF7,9,6,48,100,98,92,5,2109,98.0,93.87755102040816,5.434782608695652,0.8889517205751825,0.6983556036814393,1.0,206682,0.3521592338298398,3.0408078808664363,5.773660000000005,0.2,493.8102000000001
AKT1,MCF7,9,7,49,100,98,95,7,2109,98.0,96.93877551020408,7.368421052631579,0.8892926862078105,0.7139104295420549,1.0,206682,0.45275400271688754,3.2221255357013594,4.161220000000004,0.42857142857142855,430.2447142857145
AKT1,MCF7,9,8,50,100,93,85,2,2109,93.0,91.39784946236558,2.3529411764705883,0.8915561711107187,0.7259094860846109,0.7741935483870968,196137,0.3607554955297017,4.417917296535221,-0.09656499999999979,0.5,571.6790000000001
AKT1,MCF7,9,9,51,100,95,91,6,2109,95.0,95.78947368421052,6.593406593406593,0.8816118036098168,0.6841753446254593,1.0,200355,0.5033353055504824,3.6684628692072794,2.4061400000000006,0.5,489.6628333333334
AKT2,MCF7,9,0,42,100,97,95,5,1259,97.0,97.9381443298969,5.2631578947368425,0.8917178029850383,0.7578497455417909,1.0,122123,0.7196991264322025,2.7095114233482858,3.1072160000000015,1,314.21440000000007
AKT2,MCF7,9,1,43,100,99,97,7,1259,99.0,97.97979797979798,7.216494845360825,0.8872243486291292,0.7337533574182514,0.711864406779661,124641,0.4185579830375745,3.348112851804338,5.117371428571431,0.2857142857142857,500.15757142857154
AKT2,MCF7,9,2,44,100,95,94,4,1259,95.0,98.94736842105263,4.25531914893617,0.8902942221283014,0.7178665465030981,1.0,119605,0.4772434867990595,3.5722245923448157,2.6689800000000017,1,453.55275000000023
AKT2,MCF7,9,3,45,100,96,93,4,1259,96.0,96.875,4.301075268817204,0.8901909821216729,0.7471586769645079,1.0,120864,0.4841499558551198,3.4146016917719386,3.900000000000003,0.5,500.61300000000017
AKT2,MCF7,9,4,46,100,97,95,5,1259,97.0,97.9381443298969,5.2631578947368425,0.8943902636519693,0.7268563396546311,0.5974025974025974,122123,0.4571883418649371,4.33019320099241,1.5482540000000031,0.6,528.7448000000002
AKT2,MCF7,9,5,47,100,97,93,3,1259,97.0,95.87628865979381,3.225806451612903,0.8920198708174023,0.7354093147463284,1.0,122123,0.6121055417375452,3.069840652797957,4.328740000000003,0.6666666666666666,378.7603333333334
AKT2,MCF7,9,6,48,100,99,98,2,1259,99.0,98.98989898989899,2.0408163265306123,0.895274309312749,0.7396478402453546,1.0,124641,0.596825106183341,3.392335076773495,2.386750000000001,0.5,392.00750000000016
AKT2,MCF7,9,7,49,100,100,98,3,1259,100.0,98.0,3.061224489795918,0.897732717592157,0.742198925187362,0.7368421052631579,125900,0.4465691359697237,3.4401178468672025,4.801160000000004,0.3333333333333333,522.3083333333335
AKT2,MCF7,9,8,50,100,95,91,3,1259,95.0,95.78947368421052,3.2967032967032965,0.8929895095481131,0.7394932983210184,1.0,119605,0.6645084465374022,3.0858936713874248,3.327233333333335,0.6666666666666666,423.5523333333335
AKT2,MCF7,9,9,51,100,97,96,3,1259,97.0,98.96907216494846,3.125,0.8909382678244624,0.7306452809212256,0.711864406779661,122123,0.4726254348915323,3.6036308133340316,2.4125233333333354,0.6666666666666666,478.53499999999997
AURKB,MCF7,9,0,42,100,95,91,4,2068,95.0,95.78947368421052,4.395604395604396,0.8901244641593969,0.7327685057056935,1.0,196460,0.5051185098162091,2.9253061165742444,4.955325000000005,0.25,429.9057500000001
AURKB,MCF7,9,1,43,100,99,96,4,2068,99.0,96.96969696969697,4.166666666666667,0.8871907392248477,0.6956522933769453,0.8571428571428571,204732,0.48407239951613523,3.2979170585282525,3.7560300000000026,0.75,495.09100000000024
AURKB,MCF7,9,2,44,100,94,90,4,2068,94.0,95.74468085106383,4.444444444444445,0.8840525786600263,0.6853763311793947,1.0,194392,0.5752328963660567,3.8200584460893166,3.7502800000000027,0.75,463.1077500000002
AURKB,MCF7,9,3,45,100,97,95,7,2068,97.0,97.9381443298969,7.368421052631579,0.8953910976813748,0.7225506855964081,0.7692307692307693,200596,0.5064439886618841,3.3203608326984027,3.544197142857145,0.5714285714285714,407.2425714285715
AURKB,MCF7,9,4,46,100,97,91,6,2068,97.0,93.81443298969072,6.593406593406593,0.8906518840340307,0.7249698721459499,1.0,200596,0.4538486541168565,4.334687943761091,2.7750983333333368,0.3333333333333333,493.9130000000001
AURKB,MCF7,9,5,47,100,99,93,3,2068,99.0,93.93939393939394,3.225806451612903,0.8898941350358542,0.7138756572726649,1.0,204732,0.6884598703971603,2.591304160753376,4.31306666666667,0.6666666666666666,347.18466666666677
AURKB,MCF7,9,6,48,100,96,94,7,2068,96.0,97.91666666666667,7.446808510638298,0.8892831830313732,0.7049462720375498,1.0,198528,0.5416116786190337,3.711919921856611,4.6688185714285755,0.42857142857142855,447.0377142857144
AURKB,MCF7,9,7,49,100,100,96,3,2068,100.0,96.0,3.125,0.8918007154326953,0.7172234696238877,0.9210526315789473,206800,0.4664294617121797,4.308957403019203,4.775466666666671,0.3333333333333333,485.66466666666685
AURKB,MCF7,9,8,50,100,92,90,1,2068,92.0,97.82608695652173,1.1111111111111112,0.8903612675060826,0.7175100540474274,1.0,190256,0.6842940164023317,4.234135385446143,0.6950999999999996,1,371.4370000000002
