target,paper_archived_max,historical_recomputed_max,released_max,released_best_group_1based,released_delta_vs_archive,fresh_original_max,fresh_original_best_group_1based,fresh_original_delta_vs_archive
AKT1,1.0,1.0,1.0,1,0.0,1.0,2,0.0
AKT2,1.0,1.0,1.0,1,0.0,1.0,2,0.0
AURKB,1.0,1.0,1.0,1,0.0,1.0,2,0.0
CTSK,0.45,0.45,0.4565217391304347,8,0.0065217391304346894,0.4807692307692308,4,0.03076923076923077
EGFR,1.0,1.0,1.0,7,0.0,1.0,4,0.0
HDAC1,0.84375,0.84375,0.84375,1,0.0,0.84375,4,0.0
MTOR,1.0,1.0,1.0,1,0.0,0.8805970149253731,2,-0.11940298507462688
PIK3CA,0.8428571428571429,0.8428571428571429,1.0,7,0.15714285714285714,1.0,9,0.15714285714285714
SMAD3,1.0,1.0,1.0,5,0.0,1.0,5,0.0
TP53,1.0,1.0,1.0,2,0.0,1.0,3,0.0
