model,protein_name,run_idx,valid_num,unique_raw_num,novelty_gxvaes_percent,max_tanimoto_gxvaes
Tx2Mol-original-replay-20260925,AKT1,0,92,90,84.44444444444444,1.0
Tx2Mol-original-replay-20260925,AKT1,1,98,96,84.375,0.7368421052631579
Tx2Mol-original-replay-20260925,AKT1,2,94,90,84.44444444444444,0.88
Tx2Mol-original-replay-20260925,AKT1,3,99,94,84.04255319148936,0.711864406779661
Tx2Mol-original-replay-20260925,AKT1,4,95,87,86.20689655172414,0.6774193548387096
Tx2Mol-original-replay-20260925,AKT1,5,95,89,84.26966292134831,0.7368421052631579
Tx2Mol-original-replay-20260925,AKT1,6,97,91,79.12087912087912,1.0
Tx2Mol-original-replay-20260925,AKT1,7,97,95,85.26315789473684,1.0
Tx2Mol-original-replay-20260925,AKT1,8,93,85,81.17647058823529,0.7741935483870968
Tx2Mol-original-replay-20260925,AKT1,9,96,92,88.04347826086956,1.0
Tx2Mol-original-replay-20260925,AKT2,0,97,94,82.97872340425532,1.0
Tx2Mol-original-replay-20260925,AKT2,1,98,96,83.33333333333333,0.711864406779661
Tx2Mol-original-replay-20260925,AKT2,2,94,92,82.6086956521739,1.0
Tx2Mol-original-replay-20260925,AKT2,3,95,92,82.6086956521739,1.0
Tx2Mol-original-replay-20260925,AKT2,4,97,95,86.3157894736842,0.6444444444444445
Tx2Mol-original-replay-20260925,AKT2,5,97,92,88.04347826086956,0.5697674418604651
Tx2Mol-original-replay-20260925,AKT2,6,100,97,83.50515463917526,1.0
Tx2Mol-original-replay-20260925,AKT2,7,100,99,79.79797979797979,0.711864406779661
Tx2Mol-original-replay-20260925,AKT2,8,95,93,77.41935483870968,1.0
Tx2Mol-original-replay-20260925,AKT2,9,97,94,81.91489361702128,0.711864406779661
Tx2Mol-original-replay-20260925,AURKB,0,95,92,81.52173913043478,1.0
Tx2Mol-original-replay-20260925,AURKB,1,98,94,81.91489361702128,1.0
Tx2Mol-original-replay-20260925,AURKB,2,94,91,84.61538461538461,1.0
Tx2Mol-original-replay-20260925,AURKB,3,98,95,81.05263157894737,1.0
Tx2Mol-original-replay-20260925,AURKB,4,97,90,85.55555555555556,1.0
Tx2Mol-original-replay-20260925,AURKB,5,97,90,90.0,1.0
Tx2Mol-original-replay-20260925,AURKB,6,97,94,88.29787234042553,1.0
Tx2Mol-original-replay-20260925,AURKB,7,100,96,84.375,0.9210526315789473
Tx2Mol-original-replay-20260925,AURKB,8,92,90,86.66666666666667,1.0
Tx2Mol-original-replay-20260925,AURKB,9,97,93,79.56989247311827,1.0
Tx2Mol-original-replay-20260925,CTSK,0,100,98,81.63265306122449,0.42105263157894735
Tx2Mol-original-replay-20260925,CTSK,1,99,96,84.375,0.4262295081967213
Tx2Mol-original-replay-20260925,CTSK,2,98,97,80.41237113402062,0.3626373626373626
Tx2Mol-original-replay-20260925,CTSK,3,99,96,81.25,0.3389830508474576
Tx2Mol-original-replay-20260925,CTSK,4,99,96,81.25,0.3902439024390244
Tx2Mol-original-replay-20260925,CTSK,5,100,99,77.77777777777777,0.4262295081967213
Tx2Mol-original-replay-20260925,CTSK,6,99,96,84.375,0.42857142857142855
Tx2Mol-original-replay-20260925,CTSK,7,98,94,76.59574468085107,0.45652173913043476
Tx2Mol-original-replay-20260925,CTSK,8,99,98,77.55102040816327,0.34
Tx2Mol-original-replay-20260925,CTSK,9,98,96,83.33333333333333,0.4262295081967213
Tx2Mol-original-replay-20260925,EGFR,0,99,99,81.81818181818181,0.6346153846153846
Tx2Mol-original-replay-20260925,EGFR,1,99,99,85.85858585858585,0.8059701492537313
Tx2Mol-original-replay-20260925,EGFR,2,100,97,87.62886597938144,0.5116279069767442
Tx2Mol-original-replay-20260925,EGFR,3,99,98,82.65306122448979,0.41025641025641024
Tx2Mol-original-replay-20260925,EGFR,4,99,98,83.6734693877551,0.7875
Tx2Mol-original-replay-20260925,EGFR,5,100,100,80.0,0.7391304347826086
Tx2Mol-original-replay-20260925,EGFR,6,99,97,82.47422680412372,1.0
Tx2Mol-original-replay-20260925,EGFR,7,100,98,77.55102040816327,0.6727272727272727
Tx2Mol-original-replay-20260925,EGFR,8,98,98,83.6734693877551,0.9672131147540983
Tx2Mol-original-replay-20260925,EGFR,9,98,97,86.5979381443299,1.0
Tx2Mol-original-replay-20260925,HDAC1,0,94,93,84.94623655913979,0.84375
Tx2Mol-original-replay-20260925,HDAC1,1,98,96,84.375,0.6172839506172839
Tx2Mol-original-replay-20260925,HDAC1,2,91,88,85.22727272727273,0.84375
Tx2Mol-original-replay-20260925,HDAC1,3,97,93,83.87096774193549,0.6904761904761905
Tx2Mol-original-replay-20260925,HDAC1,4,95,92,88.04347826086956,0.7872340425531915
Tx2Mol-original-replay-20260925,HDAC1,5,97,91,80.21978021978022,0.7872340425531915
Tx2Mol-original-replay-20260925,HDAC1,6,100,98,82.65306122448979,0.7872340425531915
Tx2Mol-original-replay-20260925,HDAC1,7,99,95,87.36842105263158,0.6904761904761905
Tx2Mol-original-replay-20260925,HDAC1,8,95,91,85.71428571428571,0.5733333333333334
Tx2Mol-original-replay-20260925,HDAC1,9,96,93,86.02150537634408,0.671875
Tx2Mol-original-replay-20260925,MTOR,0,96,93,87.09677419354838,1.0
Tx2Mol-original-replay-20260925,MTOR,1,96,96,81.25,0.543859649122807
Tx2Mol-original-replay-20260925,MTOR,2,95,91,85.71428571428571,0.8375
Tx2Mol-original-replay-20260925,MTOR,3,92,90,82.22222222222223,1.0
Tx2Mol-original-replay-20260925,MTOR,4,99,95,87.36842105263158,0.7457627118644068
Tx2Mol-original-replay-20260925,MTOR,5,99,93,84.94623655913979,0.7457627118644068
Tx2Mol-original-replay-20260925,MTOR,6,99,94,80.85106382978724,1.0
Tx2Mol-original-replay-20260925,MTOR,7,99,94,78.72340425531915,1.0
Tx2Mol-original-replay-20260925,MTOR,8,97,91,84.61538461538461,1.0
Tx2Mol-original-replay-20260925,MTOR,9,98,92,82.6086956521739,0.7384615384615385
Tx2Mol-original-replay-20260925,PIK3CA,0,98,97,75.25773195876289,0.6037735849056604
Tx2Mol-original-replay-20260925,PIK3CA,1,97,96,84.375,0.4473684210526316
Tx2Mol-original-replay-20260925,PIK3CA,2,97,96,79.16666666666667,0.55
Tx2Mol-original-replay-20260925,PIK3CA,3,94,91,83.51648351648352,0.6923076923076923
Tx2Mol-original-replay-20260925,PIK3CA,4,97,92,85.8695652173913,0.55
Tx2Mol-original-replay-20260925,PIK3CA,5,99,97,81.44329896907216,0.37142857142857144
Tx2Mol-original-replay-20260925,PIK3CA,6,99,99,84.84848484848484,1.0
Tx2Mol-original-replay-20260925,PIK3CA,7,99,97,78.35051546391753,1.0
Tx2Mol-original-replay-20260925,PIK3CA,8,97,97,77.31958762886597,0.43283582089552236
Tx2Mol-original-replay-20260925,PIK3CA,9,98,97,81.44329896907216,0.379746835443038
Tx2Mol-original-replay-20260925,SMAD3,0,98,97,91.75257731958763,0.9142857142857143
Tx2Mol-original-replay-20260925,SMAD3,1,100,99,87.87878787878788,0.8518518518518519
Tx2Mol-original-replay-20260925,SMAD3,2,97,96,86.45833333333333,0.8205128205128205
Tx2Mol-original-replay-20260925,SMAD3,3,98,97,85.56701030927834,0.8020833333333334
Tx2Mol-original-replay-20260925,SMAD3,4,99,99,85.85858585858585,1.0
Tx2Mol-original-replay-20260925,SMAD3,5,98,95,82.10526315789474,0.8295454545454546
Tx2Mol-original-replay-20260925,SMAD3,6,97,92,86.95652173913044,0.9142857142857143
Tx2Mol-original-replay-20260925,SMAD3,7,100,96,81.25,0.8295454545454546
