model,protein_name,run_idx,valid_num,unique_raw_num,novelty_gxvaes_percent,max_tanimoto_gxvaes
Tx2Mol-original-replay-20260925,AKT1,0,92,90,84.44444444444444,1.0
Tx2Mol-original-replay-20260925,AKT2,0,97,94,82.97872340425532,1.0
Tx2Mol-original-replay-20260925,AURKB,0,95,92,81.52173913043478,1.0
Tx2Mol-original-replay-20260925,CTSK,7,98,94,76.59574468085107,0.45652173913043476
Tx2Mol-original-replay-20260925,EGFR,6,99,97,82.47422680412372,1.0
Tx2Mol-original-replay-20260925,HDAC1,0,94,93,84.94623655913979,0.84375
Tx2Mol-original-replay-20260925,MTOR,0,96,93,87.09677419354838,1.0
Tx2Mol-original-replay-20260925,PIK3CA,6,99,99,84.84848484848484,1.0
Tx2Mol-original-replay-20260925,SMAD3,4,99,99,85.85858585858585,1.0
Tx2Mol-original-replay-20260925,TP53,1,98,96,85.41666666666667,1.0
