target,cell_line,num_runs,total_generated_mean,total_generated_std,valid_num_mean,valid_num_std,unique_num_mean,unique_num_std,novel_num_mean,novel_num_std,source_ligand_count_mean,source_ligand_count_std,valid_rate_mean,valid_rate_std,unique_rate_mean,unique_rate_std,novel_rate_mean,novel_rate_std,diversity_mean,diversity_std,intdivp_mean,intdivp_std,max_tanimoto_mean,max_tanimoto_std,avg_tanimoto_mean,avg_tanimoto_std,mean_max_tanimoto_mean,mean_max_tanimoto_std,tanimoto_pair_count_mean,tanimoto_pair_count_std,qed_mean,qed_std,sa_mean,sa_std,logp_mean,logp_std,lipinski_mean,lipinski_std,mw_mean,mw_std
AKT1,MCF7,1,10.0,0.0,10.0,0.0,10.0,0.0,2.0,0.0,2119.0,0.0,100.0,0.0,100.0,0.0,20.0,0.0,0.8967537287336189,0.0,0.6211568974375861,0.0,0.24719101123595505,0.0,0.10707855605477155,0.0,0.23627156195600568,0.0,4238.0,0.0,0.5342265519862774,0.0,4.179917506188133,0.0,4.470200000000005,0.0,0.5,0.0,396.54350000000005,0.0
AKT2,MCF7,1,10.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1263.0,0.0,100.0,0.0,100.0,0.0,10.0,0.0,0.8854500840715267,0.0,0.6514160423381979,0.0,0.25,0.0,0.13155514485373412,0.0,0.25,0.0,1263.0,0.0,0.4451223672946323,0.0,3.493369971027805,0.0,4.186400000000003,0.0,1.0,0.0,484.60000000000025,0.0
AURKB,MCF7,1,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,2086.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.8945934175225312,0.0,0.7609565206360497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTSK,MCF7,1,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,1597.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.885438297692589,0.0,0.7309979556565118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,MCF7,1,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,2254.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.8886023416891425,0.0,0.7193153693021329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDAC1,MCF7,1,10.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,993.0,0.0,100.0,0.0,100.0,0.0,10.0,0.0,0.9011413081373872,0.0,0.7798927859769063,0.0,0.21428571428571427,0.0,0.11352248788475486,0.0,0.21428571428571427,0.0,993.0,0.0,0.351474747734105,0.0,3.4434243883584497,0.0,0.93298,0.0,1.0,0.0,314.257,0.0
MTOR,MCF7,1,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,1493.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.8937721760659406,0.0,0.7860299276259255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIK3CA,MCF7,1,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,1183.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.8853398942591784,0.0,0.6764084870143618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMAD3,MCF7,1,10.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,12415.0,0.0,100.0,0.0,100.0,0.0,10.0,0.0,0.8706034477976403,0.0,0.6653814786793483,0.0,0.33,0.0,0.1478489424972215,0.0,0.33,0.0,12415.0,0.0,0.7186831022949224,0.0,3.8259579974887847,0.0,4.041300000000003,0.0,1.0,0.0,467.61000000000024,0.0
TP53,MCF7,1,10.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,6736.0,0.0,100.0,0.0,100.0,0.0,10.0,0.0,0.8984618487052528,0.0,0.7700948047803913,0.0,0.3125,0.0,0.1390964667057239,0.0,0.3125,0.0,6736.0,0.0,0.3900506905512156,0.0,3.4267121740454414,0.0,5.462300000000004,0.0,0.0,0.0,508.66600000000034,0.0
