target,cell_line,cell_line_idx,run_idx,seed,total_generated,valid_num,unique_num,novel_num,source_ligand_count,valid_rate,unique_rate,novel_rate,diversity,intdivp,max_tanimoto,avg_tanimoto,mean_max_tanimoto,tanimoto_pair_count,qed,sa,logp,lipinski,mw
AKT1,MCF7,9,0,42,10,10,10,2,2119,100.0,100.0,20.0,0.8967537287336189,0.6211568974375861,0.24719101123595505,0.10707855605477155,0.23627156195600568,4238,0.5342265519862774,4.179917506188133,4.470200000000005,0.5,396.54350000000005
AKT2,MCF7,9,0,42,10,10,10,1,1263,100.0,100.0,10.0,0.8854500840715267,0.6514160423381979,0.25,0.13155514485373412,0.25,1263,0.4451223672946323,3.493369971027805,4.186400000000003,1,484.60000000000025
AURKB,MCF7,9,0,42,10,10,10,0,2086,100.0,100.0,0.0,0.8945934175225312,0.7609565206360497,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CTSK,MCF7,9,0,42,10,10,10,0,1597,100.0,100.0,0.0,0.885438297692589,0.7309979556565118,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
EGFR,MCF7,9,0,42,10,10,10,0,2254,100.0,100.0,0.0,0.8886023416891425,0.7193153693021329,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
HDAC1,MCF7,9,0,42,10,10,10,1,993,100.0,100.0,10.0,0.9011413081373872,0.7798927859769063,0.21428571428571427,0.11352248788475486,0.21428571428571427,993,0.351474747734105,3.4434243883584497,0.93298,1,314.257
MTOR,MCF7,9,0,42,10,10,10,0,1493,100.0,100.0,0.0,0.8937721760659406,0.7860299276259255,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
PIK3CA,MCF7,9,0,42,10,10,10,0,1183,100.0,100.0,0.0,0.8853398942591784,0.6764084870143618,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
SMAD3,MCF7,9,0,42,10,10,10,1,12415,100.0,100.0,10.0,0.8706034477976403,0.6653814786793483,0.33,0.1478489424972215,0.33,12415,0.7186831022949224,3.8259579974887847,4.041300000000003,1,467.61000000000024
TP53,MCF7,9,0,42,10,10,10,1,6736,100.0,100.0,10.0,0.8984618487052528,0.7700948047803913,0.3125,0.1390964667057239,0.3125,6736,0.3900506905512156,3.4267121740454414,5.462300000000004,0,508.66600000000034
